ID No,Prog Code,Gender,YoG,CGPA,CGPA100,CGPA200,CGPA300,CGPA400,SGPA,CGPA_Binned,Cluster,Cluster_Optimized,PC1,PC2
65831.0,0,0,2013.0,3.33,3.31,3.19,3.23,3.58,2.92,1,2,2,-0.5264810436289817,0.5871950317871659
62549.0,0,0,2013.0,4.75,4.79,4.65,4.71,4.85,3.96,0,1,1,3.9481781446671973,0.28232209256920787
66742.0,0,0,2013.0,2.43,2.6,2.47,2.26,2.38,2.08,1,0,0,-3.4074122087106513,0.8298948956000697
60254.0,0,0,2013.0,3.98,4.17,3.91,3.48,4.23,3.26,0,1,1,1.426083266833384,0.5388140464584813
89412.0,0,0,2013.0,3.8,4.08,3.43,3.55,4.08,2.92,0,2,2,0.803194595193498,0.46221756023214305
76310.0,0,0,2013.0,2.88,2.92,3.08,3.23,2.44,2.89,1,0,0,-1.7402199948824384,0.3108146604624611
65128.0,0,0,2013.0,3.87,4.06,3.72,3.65,3.97,3.13,0,2,2,1.0781564992696682,0.5611958129830203
39732.0,0,0,2013.0,4.3,4.25,4.28,4.16,4.51,3.54,0,1,1,2.5020052925884197,0.6770916192692552
70319.0,0,0,2013.0,3.99,3.79,4.06,3.71,4.35,2.5,0,1,1,1.1882460590779593,0.8920392980873724
65473.0,0,0,2013.0,4.13,4.17,4.13,4.0,4.21,2.42,0,1,1,1.588038053369318,1.0214457023971788
61668.0,0,0,2013.0,3.65,3.35,3.59,3.48,4.23,3.38,0,2,2,0.5870502136305825,0.4366612211540751
55446.0,0,1,2013.0,2.63,3.1,2.6,2.84,2.22,2.66,1,0,0,-2.4765167238501125,0.6610704322335877
73235.0,0,1,2013.0,4.11,4.33,4.3,3.39,4.18,2.71,0,1,1,1.5471992646188697,0.6771204143350998
73918.0,0,0,2013.0,3.56,3.56,3.32,3.1,4.14,2.71,0,2,2,0.0003644067420338296,0.6939820214854562
36603.0,0,0,2013.0,4.55,4.65,4.35,4.48,4.74,2.36,0,1,1,2.7841642953233907,1.5103319071022492
40934.0,0,1,2013.0,3.74,3.85,3.93,2.74,4.11,2.95,0,2,2,0.5336117283694501,0.8096598612571043
62591.0,0,0,2013.0,4.23,3.96,4.22,4.03,4.72,4.38,0,1,1,2.6111644261687283,-0.07286955814977888
44387.0,0,0,2013.0,4.15,4.08,4.22,3.84,4.41,4.14,0,1,1,2.277400986422474,0.20888557180394193
25727.0,0,0,2013.0,3.28,3.15,3.65,2.71,3.45,3.54,1,2,2,-0.4870736884742942,0.5067626200830166
33165.0,0,0,2013.0,4.3,4.08,4.43,4.16,4.54,3.82,0,1,1,2.610278313011821,0.5566049494367158
30063.000000000004,0,0,2013.0,4.04,3.73,4.04,3.94,4.51,3.54,0,1,1,1.7753341141694807,0.7513262148410063
26083.0,0,0,2013.0,4.19,3.85,4.06,4.45,4.56,3.68,0,1,1,2.297506912911914,0.7828555350837301
45732.0,0,0,2013.0,2.55,1.73,2.4,2.61,3.3,2.57,1,0,0,-3.018508158915982,0.8993530595057982
80688.0,0,1,2013.0,2.82,2.88,2.89,2.39,3.0,3.83,1,0,0,-1.6864086014402722,-0.2994006033005144
62099.0,0,0,2013.0,3.26,3.79,3.18,2.35,3.39,2.42,1,2,2,-1.0355451077297506,0.8285779340156662
27055.0,0,0,2013.0,4.33,4.38,4.15,4.32,4.49,2.43,0,1,1,2.177525590930049,1.5226746343451363
76642.0,0,0,2013.0,3.87,3.98,3.61,3.55,4.28,3.19,0,2,2,1.1041066046487809,0.44102737033004413
25569.0,0,0,2013.0,3.19,3.27,3.29,2.65,3.38,1.76,1,2,2,-1.4221276795763653,1.6123477915732765
30867.0,0,0,2013.0,4.25,4.13,4.46,4.23,4.18,2.15,0,1,1,1.8363896280913015,1.543186386714245
61462.0,0,1,2013.0,3.83,3.73,3.72,3.81,4.07,2.85,0,2,2,0.8873669037346732,0.783008864962508
31615.0,0,1,2013.0,3.36,3.38,3.35,3.32,3.39,3.23,1,2,2,-0.3084439140521381,0.7407253067628459
35331.0,0,0,2014.0,3.47,3.46,3.33,3.94,3.32,3.13,1,2,2,0.05331334406922231,1.493174417616084
70546.0,0,1,2014.0,3.46,2.83,3.44,4.13,3.66,2.19,1,2,2,-0.3411651219325962,1.6993037761270307
83356.0,0,0,2014.0,3.64,3.98,3.11,3.71,3.76,2.92,0,2,2,0.37934619021551835,1.1933993853128047
89894.0,0,0,2014.0,4.91,4.75,4.98,4.94,4.98,3.54,0,1,1,4.256620248330032,0.9078311987916325
63387.0,0,0,2014.0,3.02,2.73,2.92,3.03,3.34,2.64,1,0,0,-1.5503780648685115,1.3832635446310093
95377.0,0,0,2014.0,4.63,4.46,4.78,4.65,4.64,3.36,0,1,1,3.38737391739034,0.8772886490568104
67162.0,0,0,2014.0,4.2,3.77,4.37,4.16,4.51,2.99,0,1,1,2.006189723625157,1.334468931583933
57610.0,0,1,2014.0,4.06,3.0,4.02,4.81,4.71,2.85,0,1,1,1.6479031572112655,1.6213474039378173
29869.0,0,0,2014.0,3.7,3.69,3.35,3.65,4.06,2.64,0,2,2,0.4166184452761005,1.9360738384147251
55505.0,0,0,2014.0,3.62,3.85,3.37,3.68,3.58,2.29,0,2,2,0.09182347189164725,1.8079105531913975
54816.0,0,0,2014.0,4.24,4.33,4.04,4.52,4.24,3.2,0,1,1,2.293247900379603,1.414983468935344
69822.0,0,1,2014.0,3.07,2.96,2.94,3.52,3.02,2.41,1,2,2,-1.3799662606287089,1.4725111253402707
29696.0,0,0,2014.0,3.72,3.58,3.65,3.84,3.83,2.47,0,2,2,0.4460443627115881,1.9875253878353376
96250.0,0,0,2014.0,4.11,3.96,4.13,4.35,4.09,3.33,0,1,1,1.9182124713470705,0.8125104827115416
62285.0,0,0,2014.0,4.38,3.98,4.13,4.77,4.8,3.98,0,1,1,2.9533258297053466,0.9455136492579777
92589.0,0,0,2014.0,3.03,3.31,2.54,2.97,3.25,2.78,1,0,0,-1.4495204229592966,1.0391122529590742
97014.0,0,0,2014.0,3.26,3.5,2.96,3.32,3.27,4.18,1,2,2,-0.22787741724082747,0.15479848225059936
29835.000000000004,0,1,2014.0,4.33,3.69,4.19,4.94,4.73,2.57,0,1,1,2.3046415481234073,2.1330524607713177
56265.0,10,1,2010.0,4.13,4.35,3.48,4.43,4.35,3.19,0,1,1,1.8726448028311844,-1.1746336976279528
32236.0,10,1,2010.0,2.92,3.1,2.27,3.39,3.2,3.59,1,0,0,-1.3493927036202038,-1.3877657440850488
95984.0,10,0,2010.0,3.17,2.71,2.85,3.93,3.56,2.86,1,2,2,-0.8968448484551647,-1.6132547419333418
24519.0,10,0,2010.0,3.98,3.58,3.66,4.67,4.27,2.97,0,1,1,1.4234631094405144,-0.7486584642626745
29994.000000000004,10,0,2010.0,3.96,3.9,3.71,4.07,4.23,2.99,0,1,1,1.305945771504551,-0.8829320271806421
64063.0,10,0,2010.0,4.26,4.17,4.13,4.3,4.46,2.29,0,1,1,1.8755952541814025,-0.8011084805498283
83948.0,10,0,2010.0,3.85,3.67,3.7,4.17,4.0,4.11,0,2,2,1.4363544124087881,-2.1794162602801195
33118.0,10,0,2010.0,3.19,3.02,2.69,3.57,3.28,3.28,1,2,2,-0.9566800743046618,-1.2230399274462476
94989.0,10,1,2011.0,3.78,3.57,3.24,4.39,4.19,3.52,0,2,2,1.0704150162163715,-1.1810046111896397
27993.0,10,0,2011.0,3.12,3.2,2.55,3.61,3.49,2.86,1,2,2,-0.9939896052287985,-0.19694729562477883
55933.0,10,0,2011.0,4.7,4.7,4.53,4.86,4.8,3.68,0,1,1,3.7136209892908916,-0.7850247856963595
54319.0,10,1,2011.0,3.14,3.26,2.55,3.81,3.41,3.82,1,2,2,-0.5270763137027503,-1.046939434203736
37769.0,10,1,2011.0,2.29,2.53,1.98,2.52,2.29,2.73,1,0,0,-3.512406307197395,-0.5048765850801018
65790.0,10,0,2011.0,2.61,2.59,2.03,2.65,3.29,2.73,1,0,0,-2.6381093536492135,-0.6480226988697169
38329.0,10,0,2011.0,2.53,2.54,2.22,2.84,2.69,2.95,1,0,0,-2.7495627624822516,-0.5730155334238971
67765.0,10,0,2011.0,3.61,3.7,3.51,3.68,3.57,3.13,0,2,2,0.35026804297774256,-0.8473357744586242
85500.0,10,1,2011.0,2.56,3.15,1.72,3.55,2.54,2.27,1,0,0,-2.6394262907472235,-0.5258337906952902
72755.0,10,0,2011.0,2.5,2.67,1.94,3.0,2.69,3.3,1,0,0,-2.643742840377731,-1.1005217996412593
54660.0,10,0,2011.0,3.39,3.67,2.94,3.76,3.39,3.13,1,2,2,-0.19322827936447415,-0.6604644240458432
78198.0,10,0,2011.0,2.93,3.04,2.27,3.35,3.48,2.27,1,0,0,-1.7417051629314118,-0.39794858972309016
50420.0,10,0,2011.0,2.6,2.98,2.34,2.58,2.59,2.97,1,0,0,-2.556413125921402,-0.7492608485450916
71972.0,10,0,2011.0,3.74,3.26,3.25,4.41,4.44,3.67,0,2,2,1.0701296326730927,-1.0035284057125113
45568.0,10,0,2011.0,3.87,3.61,3.53,4.29,4.27,3.59,0,1,1,1.3434509588317463,-0.7168318387281765
41438.0,10,0,2012.0,2.29,2.46,2.23,2.16,2.24,3.44,1,0,0,-3.340517458807915,-0.3903024586516852
76075.0,10,1,2014.0,2.32,2.61,1.98,1.77,2.67,2.68,1,0,0,-3.6104785617081125,1.0735855423667586
78063.0,10,0,2011.0,4.25,4.07,4.18,4.59,4.29,3.91,0,1,1,2.5182557735223177,-1.2696375055751277
86041.0,10,0,2011.0,2.28,2.35,2.03,2.23,2.46,2.86,1,0,0,-3.609372021966339,-1.1313482709327332
25836.0,10,0,2011.0,3.0,2.65,2.92,3.21,3.29,2.95,1,0,0,-1.4612351313595309,-0.3766659548142302
75888.0,10,0,2011.0,3.64,3.2,3.4,4.52,3.77,2.5,0,2,2,0.31011698795813947,-0.4460422613514845
42113.0,10,0,2011.0,4.22,3.89,4.04,4.66,4.49,3.05,0,1,1,2.1347544395391025,-0.3183665078792182
87505.0,10,0,2011.0,3.54,3.41,3.2,4.28,3.61,3.13,0,2,2,0.280971679300129,-0.969273888424009
41255.0,10,0,2011.0,3.16,3.3,2.59,3.19,3.8,3.75,1,2,2,-0.5998869871874839,-0.8795690252551743
38409.0,10,0,2011.0,3.93,3.7,3.65,4.52,4.15,3.44,0,1,1,1.5019010449542067,-0.5480127985674154
64152.0,10,0,2011.0,4.25,3.89,4.18,4.62,4.46,3.05,0,1,1,2.1955571694813876,-0.5825163226243724
90420.0,10,0,2011.0,4.5,4.39,4.2,4.83,4.76,3.52,0,1,1,3.1085988304537966,-1.0545918715174225
60775.0,10,0,2011.0,2.92,3.04,2.55,2.9,3.31,3.75,1,0,0,-1.3468931534143922,-1.2080936646622749
37039.0,10,1,2011.0,3.46,3.26,2.88,4.19,3.98,2.92,1,2,2,0.035145725981164194,-0.22476241203834021
91230.0,10,0,2011.0,4.25,3.48,4.37,4.55,4.76,2.34,0,1,1,1.9160746214332358,-0.45959865135523514
39114.0,10,0,2011.0,3.98,3.26,3.84,4.52,4.53,3.13,0,1,1,1.4715481356919422,-0.35992595584881565
62205.0,10,0,2011.0,3.47,3.15,2.72,4.03,4.39,3.52,1,2,2,0.24717817777500198,-0.8061389868916002
71910.0,10,0,2011.0,4.55,4.43,4.53,4.72,4.56,3.83,0,1,1,3.3104661669739577,-1.1166620182591027
82394.0,10,1,2012.0,2.18,2.26,1.81,3.39,2.01,2.86,1,0,0,-3.4929268168250935,-0.3457370841790773
54606.0,10,0,2011.0,3.83,3.54,3.42,4.16,4.41,3.44,0,2,2,1.1636202414115022,-0.7111688663784058
74973.0,10,0,2011.0,3.66,3.33,3.13,4.28,4.24,3.28,0,2,2,0.6688529624725996,-0.8274712072019424
28749.0,10,0,2011.0,4.09,3.5,3.94,4.62,4.56,3.91,0,1,1,2.1055221673716353,-0.6985070279660535
29406.0,10,1,2011.0,3.28,3.41,3.12,3.29,3.3,3.28,1,2,2,-0.5440676443392329,-0.5800227113095275
50336.0,10,0,2011.0,3.81,3.46,3.47,4.28,4.25,3.52,0,2,2,1.138483752807139,-0.7326136048567865
34627.0,10,0,2011.0,3.41,3.09,3.2,3.84,3.69,3.05,1,2,2,-0.19845446225870214,-0.40480669550169274
65917.0,10,0,2011.0,4.55,4.35,4.71,4.79,4.41,3.75,0,1,1,3.292164541566092,-1.0426759245270842
70068.0,10,0,2011.0,2.5,3.02,2.69,3.23,2.3,2.15,1,0,0,-2.5416844505033516,-0.4869945808241095
55791.0,10,1,2011.0,3.89,3.3,3.67,4.45,4.39,2.73,0,1,1,1.0743261079527828,-0.3075211359121757
77762.0,10,0,2011.0,4.04,3.96,3.94,4.42,3.98,4.06,0,1,1,1.9811937927586574,-1.402067031153379
79850.0,10,0,2011.0,3.68,3.63,3.19,4.03,4.15,3.84,0,2,2,0.92762393832243,-1.2497704383606465
46988.0,10,1,2012.0,4.63,4.18,4.53,4.93,4.96,2.38,0,1,1,3.0056618734353386,0.7599291098264492
38648.0,10,0,2012.0,3.84,3.63,3.55,4.24,4.18,2.6,0,2,2,0.9120069968851081,0.59726794551434
84765.0,10,0,2014.0,1.9599999999999997,1.71,1.76,1.64,2.72,2.97,1,0,0,-4.436329454593006,0.7643515687914985
56919.0,10,1,2012.0,3.69,3.2,3.45,4.03,4.14,3.57,0,2,2,0.7393243207732069,-0.2286349571825969
64979.0,10,0,2012.0,2.78,2.9,2.22,3.26,3.0,2.89,1,0,0,-2.0055253306086063,-0.04674982038534496
